episode,decisions,total_reward,mean_reward_per_decision,mean_waiting,switches,loss,epsilon,wall_time_s
88,166,-173.15,-1.0431,389.60,74,0.6141,0.152,30.5
89,163,-146.20,-0.8969,240.60,77,0.6277,0.141,27.6
90,156,-183.87,-1.1787,280.85,85,0.6267,0.131,25.1
91,152,-117.55,-0.7734,250.87,88,0.6359,0.121,25.0
92,150,-176.62,-1.1775,126.68,90,0.6466,0.111,29.4
93,171,-148.25,-0.8670,879.25,70,0.6366,0.099,34.3
94,193,-150.42,-0.7794,1640.36,48,0.6297,0.087,34.7
95,170,-191.10,-1.1241,728.41,71,0.6463,0.075,30.1
96,176,-216.25,-1.2287,1160.56,65,0.6247,0.064,30.0
97,176,-217.12,-1.2337,958.64,65,0.6210,0.052,29.4
98,164,-117.97,-0.7194,275.13,76,0.6094,0.050,30.9
99,167,-137.17,-0.8214,173.41,73,0.6345,0.050,28.0
100,171,-136.65,-0.7991,250.37,69,0.6190,0.050,28.7
