episode,decisions,total_reward,mean_reward_per_decision,mean_waiting,switches,loss,epsilon,wall_time_s
84,128,1362.35,10.6434,407.82,113,9.9517,0.265,31.8
85,128,1392.03,10.8752,403.75,112,9.9807,0.256,29.4
86,124,1274.86,10.2811,350.13,116,9.9097,0.248,29.5
87,147,1326.76,9.0256,1704.18,93,10.3124,0.239,30.6
88,125,1303.92,10.4314,464.31,115,10.1719,0.230,30.4
89,129,1388.07,10.7602,531.36,112,10.0508,0.222,31.2
90,125,1316.37,10.5310,450.46,115,9.7582,0.214,29.2
91,124,1342.44,10.8261,353.06,116,9.6514,0.205,30.2
92,125,1358.61,10.8689,318.58,115,9.9858,0.197,32.7
93,130,1469.95,11.3073,744.02,111,10.2502,0.189,33.1
94,128,1276.27,9.9708,473.34,112,10.1888,0.180,22.8
95,134,1201.85,8.9690,2313.11,107,9.9805,0.171,21.1
96,127,1398.99,11.0156,586.98,113,10.0188,0.163,23.5
97,124,1235.69,9.9652,697.99,117,10.2084,0.155,25.8
98,126,1353.97,10.7458,422.21,114,10.2447,0.146,25.4
99,127,1267.77,9.9824,547.44,113,10.2937,0.138,24.7
100,127,1415.39,11.1448,342.50,114,10.6699,0.130,24.9
